txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-09-30,False,2270.5,2270.5,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8
2020-10-01,False,1794.8,1794.8,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5
2020-10-02,False,3324.5,3324.5,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25
2020-10-03,False,3105.0,3105.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004
2020-10-04,False,2769.0,2769.0,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0
2020-10-05,False,2191.75,2191.75,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0
2020-10-06,False,3492.55,3492.55,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25
2020-10-07,False,3582.05,3582.05,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75,3080.5
2020-10-08,False,2064.55,2064.55,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5,3256.75
2020-10-09,False,2642.05,2642.05,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75,2001.5
2020-10-10,False,2649.25,2649.25,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5,3304.75
2020-10-11,False,2733.55,2733.55,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5,1743.5
2020-10-12,False,2369.75,2369.75,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8,2270.5
2020-10-13,False,3291.5,3291.5,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5,1794.8
2020-10-14,False,2549.0,2549.0,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0,3324.5
2020-10-15,False,2138.8,2138.8,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0,3105.0
2020-10-16,False,2041.75,2041.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75,2769.0
2020-10-17,False,1976.75,1976.75,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55,2191.75
2020-10-18,False,1820.25,1820.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05,3492.55
2020-10-19,False,2801.25,2801.25,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55,3582.05
2020-10-20,False,2074.75,2074.75,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05,2064.55
2020-10-21,False,2781.55,2781.55,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25,2642.05
2020-10-22,False,2101.5,2101.5,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55,2649.25
2020-10-23,False,3149.25,3149.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75,2733.55
2020-10-24,False,2580.25,2580.25,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5,2369.75
2020-10-25,False,3355.75,3355.75,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0,3291.5
2020-10-26,False,1738.0,1738.0,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8,2549.0
2020-10-27,False,2991.3,2991.3,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75,2138.8
2020-10-28,False,2396.0,2396.0,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75,2041.75
2020-10-29,False,1930.25,1930.25,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25,1976.75
2020-10-30,False,2914.55,2914.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25,1820.25
2020-10-31,False,1779.55,1779.55,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75,2801.25
2020-11-01,False,2819.0,2819.0,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55,2074.75
